Class,Sex,Age,Survived
1,Female,Child,1
1,Female,Adult,0
1,Female,Adult,0
1,Female,Adult,0
1,Female,Adult,0
1,Male,Child,1
1,Male,Child,1
1,Male,Child,1
1,Male,Child,1
1,Male,Child,1
1,Male,Adult,1
1,Male,Adult,1
1,Male,Adult,1
1,Male,Adult,1
1,Male,Adult,1
1,Male,Adult,1
1,Male,Adult,1
1,Male,Adult,1
1,Male,Adult,1
1,Male,Adult,1
1,Male,Adult,1
1,Male,Adult,1
1,Male,Adult,1
1,Male,Adult,1
1,Male,Adult,1
1,Male,Adult,1
1,Male,Adult,1
1,Male,Adult,1
1,Male,Adult,1
1,Male,Adult,1
1,Male,Adult,1
1,Male,Adult,1
1,Male,Adult,1
1,Male,Adult,1
1,Male,Adult,1
1,Male,Adult,1
1,Male,Adult,1
1,Male,Adult,1
1,Male,Adult,1
1,Male,Adult,1
1,Male,Adult,1
1,Male,Adult,1
1,Male,Adult,1
1,Male,Adult,1
1,Male,Adult,1
1,Male,Adult,1
1,Male,Adult,1
1,Male,Adult,1
1,Male,Adult,1
1,Male,Adult,1
1,Male,Adult,1
1,Male,Adult,1
1,Male,Adult,1
1,Male,Adult,1
1,Male,Adult,1
1,Male,Adult,1
1,Male,Adult,1
1,Male,Adult,1
1,Male,Adult,1
1,Male,Adult,1
1,Male,Adult,1
1,Male,Adult,1
1,Male,Adult,1
1,Male,Adult,1
1,Male,Adult,1
1,Male,Adult,1
1,Male,Adult,1
1,Female,Adult,1
1,Female,Adult,1
1,Female,Adult,1
1,Female,Adult,1
1,Female,Adult,1
1,Female,Adult,1
1,Female,Adult,1
1,Female,Adult,1
1,Female,Adult,1
1,Female,Adult,1
1,Female,Adult,1
1,Female,Adult,1
1,Female,Adult,1
1,Female,Adult,1
1,Female,Adult,1
1,Female,Adult,1
1,Female,Adult,1
1,Female,Adult,1
1,Female,Adult,1
1,Female,Adult,1
1,Female,Adult,1
1,Female,Adult,1
1,Female,Adult,1
1,Female,Adult,1
1,Female,Adult,1
1,Female,Adult,1
1,Female,Adult,1
1,Female,Adult,1
1,Female,Adult,1
1,Female,Adult,1
1,Female,Adult,1
1,Female,Adult,1
1,Female,Adult,1
1,Female,Adult,1
1,Female,Adult,1
1,Female,Adult,1
1,Female,Adult,1
1,Female,Adult,1
1,Female,Adult,1
1,Female,Adult,1
1,Female,Adult,1
1,Female,Adult,1
1,Female,Adult,1
1,Female,Adult,1
1,Female,Adult,1
1,Female,Adult,1
1,Female,Adult,1
1,Female,Adult,1
1,Female,Adult,1
1,Female,Adult,1
1,Female,Adult,1
1,Female,Adult,1
1,Female,Adult,1
1,Female,Adult,1
1,Female,Adult,1
1,Female,Adult,1
1,Female,Adult,1
1,Female,Adult,1
1,Female,Adult,1
1,Female,Adult,1
1,Female,Adult,1
1,Female,Adult,1
1,Female,Adult,1
1,Female,Adult,1
1,Female,Adult,1
1,Female,Adult,1
1,Female,Adult,1
1,Female,Adult,1
1,Female,Adult,1
1,Female,Adult,1
1,Female,Adult,1
1,Female,Adult,1
1,Female,Adult,1
1,Female,Adult,1
1,Female,Adult,1
1,Female,Adult,1
1,Female,Adult,1
1,Female,Adult,1
1,Female,Adult,1
1,Female,Adult,1
1,Female,Adult,1
1,Female,Adult,1
1,Female,Adult,1
1,Female,Adult,1
1,Female,Adult,1
1,Female,Adult,1
1,Female,Adult,1
1,Female,Adult,1
1,Female,Adult,1
1,Female,Adult,1
1,Female,Adult,1
1,Female,Adult,1
1,Female,Adult,1
1,Female,Adult,1
1,Female,Adult,1
1,Female,Adult,1
1,Female,Adult,1
1,Female,Adult,1
1,Female,Adult,1
1,Female,Adult,1
1,Female,Adult,1
1,Female,Adult,1
1,Female,Adult,1
1,Female,Adult,1
1,Female,Adult,1
1,Female,Adult,1
1,Female,Adult,1
1,Female,Adult,1
1,Female,Adult,1
1,Female,Adult,1
1,Female,Adult,1
1,Female,Adult,1
1,Female,Adult,1
1,Female,Adult,1
1,Female,Adult,1
1,Female,Adult,1
1,Female,Adult,1
1,Female,Adult,1
1,Female,Adult,1
1,Female,Adult,1
1,Female,Adult,1
1,Female,Adult,1
1,Female,Adult,1
1,Female,Adult,1
1,Female,Adult,1
1,Female,Adult,1
1,Female,Adult,1
1,Female,Adult,1
1,Female,Adult,1
1,Female,Adult,1
1,Female,Adult,1
1,Female,Adult,1
1,Female,Adult,1
1,Female,Adult,1
1,Female,Adult,1
1,Female,Adult,1
1,Female,Adult,1
1,Female,Adult,1
1,Female,Adult,1
1,Female,Adult,1
1,Male,Adult,0
1,Male,Adult,0
1,Male,Adult,0
1,Male,Adult,0
1,Male,Adult,0
1,Male,Adult,0
1,Male,Adult,0
1,Male,Adult,0
1,Male,Adult,0
1,Male,Adult,0
1,Male,Adult,0
1,Male,Adult,0
1,Male,Adult,0
1,Male,Adult,0
1,Male,Adult,0
1,Male,Adult,0
1,Male,Adult,0
1,Male,Adult,0
1,Male,Adult,0
1,Male,Adult,0
1,Male,Adult,0
1,Male,Adult,0
1,Male,Adult,0
1,Male,Adult,0
1,Male,Adult,0
1,Male,Adult,0
1,Male,Adult,0
1,Male,Adult,0
1,Male,Adult,0
1,Male,Adult,0
1,Male,Adult,0
1,Male,Adult,0
1,Male,Adult,0
1,Male,Adult,0
